
2023/05/06 (10:29:39) | ===> btop++ v.1.2.13
2023/05/06 (10:29:39) | INFO: Logger set to INFO
2023/05/06 (10:29:39) | INFO: Running on /dev/pts/0
2023/05/06 (10:29:41) | INFO: Quitting! Runtime: 00:00:02

2023/05/06 (10:29:44) | ===> btop++ v.1.2.13
2023/05/06 (10:29:44) | INFO: Logger set to INFO
2023/05/06 (10:29:44) | INFO: Running on /dev/pts/0

2023/05/07 (10:06:34) | ===> btop++ v.1.2.13
2023/05/07 (10:06:34) | INFO: Logger set to INFO
2023/05/07 (10:06:34) | INFO: Running on /dev/pts/2

2023/05/07 (18:50:32) | ===> btop++ v.1.2.13
2023/05/07 (18:50:32) | INFO: Logger set to INFO
2023/05/07 (18:50:32) | INFO: Running on /dev/pts/0

2023/05/07 (19:50:23) | ===> btop++ v.1.2.13
2023/05/07 (19:50:23) | INFO: Logger set to INFO
2023/05/07 (19:50:23) | INFO: Running on /dev/pts/1

2023/05/08 (09:27:00) | ===> btop++ v.1.2.13
2023/05/08 (09:27:00) | INFO: Logger set to INFO
2023/05/08 (09:27:00) | INFO: Running on /dev/pts/1
2023/05/08 (10:02:11) | INFO: Quitting! Runtime: 00:35:11

2023/05/08 (10:02:12) | ===> btop++ v.1.2.13
2023/05/08 (10:02:12) | INFO: Logger set to INFO
2023/05/08 (10:02:12) | INFO: Running on /dev/pts/1
2023/05/08 (11:14:05) | INFO: Quitting! Runtime: 01:11:53

2023/05/08 (12:16:17) | ===> btop++ v.1.2.13
2023/05/08 (12:16:17) | INFO: Logger set to INFO
2023/05/08 (12:16:17) | INFO: Running on /dev/pts/1
2023/05/08 (12:19:42) | INFO: Quitting! Runtime: 00:03:25

2023/05/08 (12:20:07) | ===> btop++ v.1.2.13
2023/05/08 (12:20:07) | INFO: Logger set to INFO
2023/05/08 (12:20:07) | INFO: Running on /dev/pts/2
2023/05/08 (12:27:17) | INFO: Quitting! Runtime: 00:07:10

2023/05/08 (12:27:18) | ===> btop++ v.1.2.13
2023/05/08 (12:27:18) | INFO: Logger set to INFO
2023/05/08 (12:27:18) | INFO: Running on /dev/pts/2
2023/05/08 (12:27:25) | INFO: Quitting! Runtime: 00:00:07

2023/05/08 (12:27:26) | ===> btop++ v.1.2.13
2023/05/08 (12:27:26) | INFO: Logger set to INFO
2023/05/08 (12:27:26) | INFO: Running on /dev/pts/2
2023/05/08 (12:27:44) | INFO: Quitting! Runtime: 00:00:18

2023/05/08 (12:27:45) | ===> btop++ v.1.2.13
2023/05/08 (12:27:45) | INFO: Logger set to INFO
2023/05/08 (12:27:45) | INFO: Running on /dev/pts/2
2023/05/08 (16:15:38) | INFO: Quitting! Runtime: 03:47:53

2023/05/08 (16:19:43) | ===> btop++ v.1.2.13
2023/05/08 (16:19:43) | INFO: Logger set to INFO
2023/05/08 (16:19:43) | INFO: Running on /dev/pts/2
2023/05/08 (19:56:11) | INFO: Quitting! Runtime: 03:36:28

2023/05/08 (20:01:17) | ===> btop++ v.1.2.13
2023/05/08 (20:01:17) | INFO: Logger set to INFO
2023/05/08 (20:01:17) | INFO: Running on /dev/pts/2
2023/05/08 (20:11:33) | INFO: Quitting! Runtime: 00:10:16

2023/05/08 (20:12:47) | ===> btop++ v.1.2.13
2023/05/08 (20:12:47) | INFO: Logger set to INFO
2023/05/08 (20:12:47) | INFO: Running on /dev/pts/3
2023/05/08 (20:18:24) | INFO: Quitting! Runtime: 00:05:37

2023/05/08 (20:19:33) | ===> btop++ v.1.2.13
2023/05/08 (20:19:33) | INFO: Logger set to INFO
2023/05/08 (20:19:33) | INFO: Running on /dev/pts/2
2023/05/08 (21:44:26) | INFO: Quitting! Runtime: 01:24:53

2023/05/08 (21:46:45) | ===> btop++ v.1.2.13
2023/05/08 (21:46:45) | INFO: Logger set to INFO
2023/05/08 (21:46:45) | INFO: Running on /dev/pts/2
2023/05/09 (10:52:11) | INFO: Quitting! Runtime: 13:05:26

2023/05/09 (10:52:40) | ===> btop++ v.1.2.13
2023/05/09 (10:52:40) | INFO: Logger set to INFO
2023/05/09 (10:52:40) | INFO: Running on /dev/pts/2
2023/05/09 (15:37:35) | INFO: Quitting! Runtime: 04:44:55

2023/05/09 (15:37:37) | ===> btop++ v.1.2.13
2023/05/09 (15:37:37) | INFO: Logger set to INFO
2023/05/09 (15:37:37) | INFO: Running on /dev/pts/2
2023/05/09 (15:37:59) | INFO: Quitting! Runtime: 00:00:22

2023/05/09 (15:38:00) | ===> btop++ v.1.2.13
2023/05/09 (15:38:00) | INFO: Logger set to INFO
2023/05/09 (15:38:00) | INFO: Running on /dev/pts/2
2023/05/09 (15:39:13) | INFO: Quitting! Runtime: 00:01:13

2023/05/09 (15:39:14) | ===> btop++ v.1.2.13
2023/05/09 (15:39:14) | INFO: Logger set to INFO
2023/05/09 (15:39:14) | INFO: Running on /dev/pts/2
2023/05/09 (15:40:10) | INFO: Quitting! Runtime: 00:00:56

2023/05/09 (15:40:11) | ===> btop++ v.1.2.13
2023/05/09 (15:40:11) | INFO: Logger set to INFO
2023/05/09 (15:40:11) | INFO: Running on /dev/pts/2
